Node,Degree Centrality,Betweenness Centrality,Closeness Centrality
France,0.15384615384615385,0.2543765874648227,0.40310077519379844
Russia,0.13461538461538464,0.09863671187200597,0.37142857142857144
Germany,0.23076923076923078,0.362029337764632,0.41935483870967744
Austria,0.038461538461538464,0.02843863652687183,0.31137724550898205
Hungary,0.07692307692307693,0.04254291460173813,0.26804123711340205
Bulgaria,0.07692307692307693,0.025105749370455253,0.3023255813953488
Ukraine,0.038461538461538464,0.1151595681007446,0.32298136645962733
Italy,0.09615384615384616,0.08775467451938036,0.3586206896551724
Poland,0.09615384615384616,0.13091652356358235,0.35374149659863946
Estonia,0.057692307692307696,0.027857681534152134,0.30409356725146197
Latvia,0.038461538461538464,0.0,0.23963133640552994
Lithuania,0.07692307692307693,0.015056920203979026,0.27956989247311825
Finland,0.07692307692307693,0.009537276449041157,0.3170731707317073
Belgium,0.07692307692307693,0.08131688572865044,0.2736842105263158
Netherlands,0.038461538461538464,0.0,0.21666666666666667
Luxembourg,0.038461538461538464,0.0,0.21666666666666667
Denmark,0.057692307692307696,0.004901960784313725,0.24761904761904763
Norway,0.038461538461538464,0.014771421389068451,0.3058823529411765
Sweden,0.038461538461538464,0.014771421389068451,0.3058823529411765
Greece,0.057692307692307696,0.01854066412889943,0.30952380952380953
Albania,0.057692307692307696,0.0036181139122315594,0.25742574257425743
Belarus,0.038461538461538464,0.08870154899566665,0.26262626262626265
Libya,0.07692307692307693,0.12030034235916588,0.2374429223744292
Egypt,0.038461538461538464,0.018853695324283562,0.19402985074626866
Iraq,0.038461538461538464,0.0003770739064856712,0.1640378548895899
Iran,0.038461538461538464,0.018853695324283562,0.19402985074626866
Japan,0.19230769230769232,0.290100776130188,0.40625
Algeria,0.038461538461538464,0.038461538461538464,0.26804123711340205
Morocco,0.019230769230769232,0.0,0.21224489795918366
Thailand,0.038461538461538464,0.004154396801455625,0.2937853107344633
Singapore,0.057692307692307696,0.00654851684263449,0.27807486631016043
Philippines,0.11538461538461539,0.11326919268095739,0.33986928104575165
Solomon Islands,0.038461538461538464,0.0,0.30952380952380953
Australia,0.07692307692307693,0.06732205702793936,0.33121019108280253
India,0.11538461538461539,0.15775118128059307,0.348993288590604
Pakistan,0.057692307692307696,0.11919186478010009,0.29714285714285715
Israel,0.057692307692307696,0.09626696832579187,0.24528301886792453
South Africa,0.019230769230769232,0.0,0.19771863117870722
Papua New Guinea,0.019230769230769232,0.0,0.26
Laos,0.038461538461538464,0.01916792357968829,0.2639593908629442
Cambodia,0.038461538461538464,0.004336349924585219,0.22413793103448276
Vietnam,0.09615384615384616,0.05676398764634059,0.2694300518134715
Kenya,0.038461538461538464,0.009653092006033183,0.2549019607843137
Ghana,0.038461538461538464,0.03227752639517346,0.3058823529411765
Cape Verde,0.038461538461538464,0.07541478129713425,0.29545454545454547
Angola,0.038461538461538464,0.038461538461538464,0.2311111111111111
Mozambique,0.019230769230769232,0.0,0.18840579710144928
Romania,0.09615384615384616,0.031626434567611036,0.30409356725146197
Mongolia,0.038461538461538464,0.018209078503196148,0.23318385650224216
Cuba,0.057692307692307696,0.018489190548014078,0.2311111111111111
United States,0.057692307692307696,0.010195360195360197,0.2524271844660194
Canada,0.057692307692307696,0.03646484234719529,0.3076923076923077
Lebanon,0.019230769230769232,0.0,0.26
