Country,Mentions
germany,43
japan,33
france,16
italy,14
vietnam,13
poland,13
russia,10
india,9
norway,5
philippines,5
libya,5
greece,4
iran,4
israel,4
finland,4
austria,3
guinea,3
lithuania,3
denmark,3
romania,3
cuba,3
pakistan,3
ukraine,2
egypt,2
albania,2
latvia,2
canada,2
estonia,2
netherlands,2
cambodia,2
bulgaria,2
singapore,2
belgium,2
bangladesh,2
australia,2
morocco,1
algeria,1
angola,1
sweden,1
kenya,1
hungary,1
seychelles,1
mozambique,1
thailand,1
laos,1
panama,1
iraq,1
mongolia,1
lebanon,1
belarus,1
ghana,1
mexico,1
luxembourg,1
ireland,1
spain,1
